	thread	tid	sent	ManualLabel	codes	stakeholder	signal	intent	action	LEN	LEN.1
4167	1802915	1802915:52	To improve performance you could have a single predefined sting if you know the max length like: String template ####################################; And then simply perform a substring once you know the length.	o	['Usability']					216	21
2058	2476239	2476239:11	Java wrappers are available: URL_http://ubaa.net/shared/processing/opencv/ [OpenCV-Java-and-Processing-library] URL_http://code.google.com/p/javacv/ [JavaCV] I believe you will want to look into Hough transforms for circles.	o	['Others']					226	87
1789	5802639	5802639:40	later,Dean .	o	['Others']					14	96
2572	26458	26458:8	@mKorbel Netbeans editor works just fine with plain Swing applications.	p	['Others']					75	71
10	15936368	15936368:13	You don't need the dot since // searches in the entire document.	o	['Bug', 'Usability']		explain suggestion			66	535
3822	5620985	5620985:38	URL_https://github.com/fuzzylollipop/sqlck [SQL-Construction-Kit] is a very flexilble, no dependency framework.	o	['Usability']					113	35
404	922779	922779:77	Connect your debugger to the proxy client.	o	['Documentation']					44	190
4493	309424	309424:201	I thing that we both agree that this method isn't thread-safe in many ways.	n	[u'Usability']					77	4
949	326390	326390:97	This code has casting from long to int which could pop up some crazy behaviour with big files.	n	['OnlySentiment']					96	137
3646	309424	309424:141	@harschware: Given the question was: If you have java.io.InputStream object how should you process that object and produce a String?	o	['Usability']					135	41
3683	309424	309424:178	I ran some timing tests because time matters, always.	o	['Usability']					55	40
3086	338586	338586:75	Some future version of Gson will reportedly support using getters/setters instead of fields.	o	['Security']					94	56
3858	660609	660609:4	If not, strict adherence to the SQL standard is also fine.	o	['Usability']					60	34
3942	462566	462566:18	They permit library authors to not force users into having multiple logging library and configuration.	o	['Usability']		explain suggestion			104	31
2720	26458	26458:156	(I always found winforms too limiting).	o	['Performance']					41	67
2099	7873197	7873197:6	Please tell me how can I get access to HttpServletRequest Object.	o	['Others']					67	86
879	326390	326390:27	What does the channel means.	o	['OnlySentiment']		used			30	141
3401	267306	267306:5	My idea was to have write a sever app on each machine that acts as a gateway from the control center to the radio hardware, with one socket for each unit.	o	['Usability']					156	48
163	35785	35785:13	You may want to look at URL_http://simple.sourceforge.net/ [Simple] , its the closest thing I've found to the System.Xml.Serialization in .Net.	o	['Bug']					145	255
3561	309424	309424:56	URL_http://commons.apache.org/io/apidocs/org/apache/comm ons/io/IOUtils.html#copy(java.io.InputStream,%20java.io.Writer,%20java.lang.St ring).	o	['Usability']					144	43
1646	3451935	3451935:32	Why ask?	n	['Others']		explain			10	102
857	326390	326390:5	CODESNIPPET_JAVA1 .	o	['OnlySentiment']					21	142
4329	309424	309424:37	@PavelRepin @Patrick in my case, an empty inputStream caused a NPE during Scanner construction.	o	['Usability']					97	16
4093	354837	354837:81	Didn't mind a dependency on 1.4??	o	['Usability']					35	25
251	410890	410890:40	I just thought Java would still treat it like one single line.	o	['Compatibility', 'Portability']					64	221
456	3125927	3125927:8	Add cookies like A Header: CODESNIPPET_JAVA1 .	o	['Documentation']					48	183
659	1109307	1109307:3	It just need to accept and send the files, and show a progress bar.	o	['OnlySentiment']					69	159
1627	3451935	3451935:13	4.	o	['Others']		support suggestion			4	102
870	326390	326390:18	Nowadays, this threshold might be many gigabytes of RAM.	o	['OnlySentiment']		clarification			58	142
1100	49226	49226:8	Thanks in advance.	p	['Others']					20	127
1737	3232842	3232842:15	I dont find any of these two bloated.	o	['Others']					39	98
146	5059224	5059224:62	And of course, there are other styles of processing: low-level parser interfaces (SAX and StAX), data-object binding interfaces (JAXB), and high- level declarative languages (XSLT, XQuery, XPath).	o	['Bug']					198	263
1598	268129	268129:80	It's been suggested several times on this thread by myself and others, but have you looked at Terracotta?	n	['Others']					107	103
2772	2994304	2994304:34	Most Web browsers do not include the Swing classes, so the Java plugin must be used.	o	['Performance']					87	65
2979	1229273	1229273:20	8.	o	['Security']		clarification			4	59
47	2129375	2129375:21	Another choice could be to use URL_http://github.com/whymirror/hpricot [hpricot] through jRuby.	o	['Bug']					97	345
3361	5536458	5536458:14	I would suggest you look at DataInputStream and DataOutputStream.	p	['Usability']					67	49
2704	26458	26458:140	The GUI builder automatically takes care of the correct spacing and alignment.	o	['Performance']					80	67
2780	2994304	2994304:42	Swing components are generally buggier than AWT: this is false as well.	p	['Performance']					75	65
394	922779	922779:67	I'm not aware of any built-in ability to encrypt connections to the debugging port.	o	['Documentation']					85	193
3124	338586	338586:113	I have used Jackson a lot, and it blows the competition away.	o	['Usability']					63	55
4104	354837	354837:92	This approach is valid in many cases, especially when your code must run on an arbitrary platform.	p	['Usability']					100	25
3712	309424	309424:207	Please comment, if there will be any issues with the code .	o	['Usability']					61	39
590	5415111	5415111:76	HTMLUnit will work, but for me it has seemed to have limited support for Javascript.	n	['Legal']					86	165
4345	309424	309424:53	I hope IOUtils takes an optional Charset (or at least the name of the encodding to use).	o	['Usability']					90	14
782	2356137	2356137:20	Just counting the line does not work.	n	['OnlySentiment']					39	148
2064	2476239	2476239:17	- The Image should be 320x280 windows bmp greyscale 8 bit indexed image.	o	['Others']					74	87
3766	312552	312552:19	This solution would definitely work for me but I prefer the simplicity of the Hibernate solution.	p	['Usability']					99	37
1419	4991084	4991084:11	For example, how do you hash+salt a password and base64 encode it in Java or Spring Security?	o	['Others']					95	111
112	5059224	5059224:28	) CODESNIPPET_JAVA5 .	o	['Bug']					23	281
2547	7358775	7358775:236	Like I said, it's not free but given the time it would take to make these things yourself your'e probably better off using something that is already made.	o	['Others']		explain suggestion			156	72
327	410890	410890:116	Step over (F6) each method to find which call returns null .	o	['Compatibility']					62	205
2182	333690	333690:15	Oh, how do I feel your pain!	o	['Others']					30	83
815	2356137	2356137:53	It will be behind, yes, but the alternative is trying to approximate bytes from chars which, as you pointed out, is ugly.	n	['OnlySentiment']					123	145
4512	309424	309424:220	It is never correct to use the return value of this method to allocate a buffer intended to hold all data in this stream.	n	[u'Usability']					123	4
794	2356137	2356137:32	By the way, it's unclear whether you mean to say that the files are stored in the DB or that the file split parameters are stored in the DB.	n	['OnlySentiment']					142	147
4300	309424	309424:8	I tend to use a set of helper classes that do it once for me, so I don't need keep referring to Google or even StackOverflow for the answer.	o	['Usability']					142	17
212	410890	410890:1	How to trace a NullPointerException in a chain of getters.	o	['Community']					60	232
1995	6457003	6457003:25	Advantages: Single language skills?	p	['Others']					37	90
953	326390	326390:101	That code will normalize line breaks, which may or may not be what you really want to do.	o	['Others']					91	137
4215	2971315	2971315:29	In Java CODETERM11 uses a CODETERM12 behind the scenes.	o	['Usability']					57	21
886	326390	326390:34	Do you know the time- and memory-efficiencies of this idiom, or can at least estimate?	o	['OnlySentiment']					88	141
342	922779	922779:15	I tested this on a Windows box to prove that (1) the debugger port does not receive connections initially, and (2) throwing the TurnOnDebugger exception as shown above causes the debugger to come alive.	p	['Documentation', 'Legal']					204	202
1545	268129	268129:27	The application organization is straight forward.	p	['Others']					51	105
3966	462566	462566:42	As for using SLF4J in your application, it is not strictly necessary.	o	['Usability']					71	30
2844	483379	483379:21	@Arkadiy: Don't assume there's a bug in JBoss; assume the bug is in your code.	n	['Performance']					80	63
3640	309424	309424:135	@PauldeVrieze how many lines, and how quickly do you need to process them!?	o	['Usability']					77	41
2980	1229273	1229273:21	The future of GlassFish is not certain because of the acquisition of SUN by Oracle.Right now Oracle claims it will support it, but who knows how this support willlook like and how long will it last.	n	['Security']					200	59
255	410890	410890:44	If the getter should not return CODETERM2 , the getter should contain a check and throw an exception ( CODETERM3 ?	o	['Compatibility', 'Usability']					116	220
292	410890	410890:81	So best keep max one nullable item per line.	p	['Compatibility']					46	212
1919	408820	408820:45	+1 for more simpler explanation.	p	['Others']					34	92
3076	338586	338586:65	 Gson seems to be the best API to use when you want to convert a json to a Java class.	o	['Security']					88	56
1505	628416	628416:32	LoginContext is populated with the authenticated Subject.	o	['Others']					59	107
4166	1802915	1802915:51	There are 9 in the comment.	p	['Usability']					29	21
3433	267306	267306:37	No need to worry about protocol issues ... it'll all look like method calls to you, on both ends.	p	['Usability']					99	47
2219	333690	333690:52	We will use the internal Restlet HTTP server connector (even though it is possible to switch to others such as the one based on Mortbay's Jetty) and return a simple string representation hello, world as plain text.	o	['Others']					218	81
765	2356137	2356137:3	Use byte APIs (e.g.	o	['OnlySentiment']					21	150
2804	2994304	2994304:66	Java has progressed somewhat since the software Swing world.	o	['Performance']					62	64
2962	1229273	1229273:3	How do they compare in terms of performance (memory usage, speed, etc)?	o	['Security', 'Usability']					73	60
4256	2971315	2971315:70	So, if you invoke it several times in a single thread ( which is 90% of the cases ), CODETERM3 will run faster because it won't stop to see if it owns the thread lock.	p	['Usability']					169	20
2011	20639844	20639844:14	Have you read their [authentication]( URL_http://dropwizard.codahale.com/manual/auth /#oauth2) documentation?	o	['Others']					111	89
1007	326390	326390:155	What's worse, the number of bytes actually read can be smaller than the value returned by available(), in which case you get corrupted output.	p	['Others']					144	132
4393	309424	309424:101	How did you get that done so fast?!.	p	[u'OnlySentiment', u'Community']					39	9
2670	26458	26458:106	And, for actual coding, their intellisense can't be beat.	o	['Performance']					59	68
1956	408820	408820:82	JDialog and JFrame areheavyweight, because they do have a peer.	n	['Others']					65	91
1535	268129	268129:17	) We haven't looked too much into EJB yet, but after the first two tries I'm wondering if what we're trying to achieve is at all possible.	n	['Others']					140	106
2856	483379	483379:33	This will give you heap dumps when you run out of memory.	o	['Performance']					59	63
620	1359689	1359689:25	Here is another nice code snippet in replace for Java Almanac: [HttpUrlConnection-Example]( URL_http://www.xyzws.com/Javafaq/how-to-use - httpurlconnection-post-data-to-web-server/139).	p	['OnlySentiment']					187	162
1859	5828625	5828625:20	You probably read something about the 'Swing Application Framework', which while _built using_ Swing, is not 'Swing'.	o	['Others']					119	93
4494	309424	309424:202	Even the input stream operations aren't thread-safe.	p	[u'Usability']					54	4
3881	660609	660609:27	That native() method looks interesting.	p	['Usability']					41	33
4402	309424	309424:110	@jmort253 Many libraries are large, slow but powerful.	p	[u'OnlySentiment']					56	9
2507	7358775	7358775:196	Another option is to use URL_http://qt-jambi.org/ [Qt-Jambi] .	n	['Others']					64	73
1827	16781085	16781085:5	I'm using Netbeans if that makes a difference.	o	['Others']					48	95
3260	1688099	1688099:63	People are just using it because it has been around for years, and so others have used, and recommend it to new users... basic s/w development inertia.	o	['Usability']					153	52
813	2356137	2356137:51	This may be the case in certain situations, but generally nio was written to be more _scalable_ than io, where scalable is not necessarily the same as faster.	p	['OnlySentiment']					168	146
1913	408820	408820:39	The base difference that which already everyone mentioned is that One is weight** and other is weight**.	n	['Others']					106	92
2988	1229273	1229273:29	JBoss 5.1 GA is listed as 130MB; GFv3Preview is 50MB.	o	['Security']		suggestion			55	59
344	922779	922779:17	We're planning on making a small servlet that, behind appropriate security, can allow us to turn on the debugger.	o	['Documentation', 'Others']					115	202
1555	268129	268129:37	I think this solves quite well the issue you're having, and its is quite straightforward in Java EE 5 with EJB 3.	p	['Others']					115	105
4085	354837	354837:73	In our company project we use LOG4j and it is very easy to use like Stephen showed in his example.We also have written our own pattern classes for LOG4j so you can create your own output file schemas.	o	['Usability']					202	26
3477	3409608	3409608:27	I'm under the impression that in this scenario, it would be best to keep the IO access to a minimum, but I don't know for sure whether this is the best approach.	o	['Usability']	User-turned-author				163	45
4206	2971315	2971315:20	The accepted answer covers it's bases pretty well.	p	['Usability']					52	21
3895	660609	660609:41	If you want to actually do something with the resulting parsed grammar, I might suggest looking at URL_http://db.apache.org/derby/ [Derby] , an open source SQL database written in Java.	p	['Usability']					187	33
2463	7358775	7358775:152	My impression is that if the underlying model uses lazy loading, then that's enough.	p	['Others']					86	74
691	1109307	1109307:35	You're definitely going to need code over and above the JRE.	o	['OnlySentiment']					62	156
52	2129375	2129375:26	Are you sure that it does what i want better than others?	o	['Bug']					59	335
117	5059224	5059224:33	I don't think there are any modern 3rd party libraries that feature anything especially useful that's missing from the stl and the standard libraries have the usual advantages of being extremely well tested, documented and stable.	p	['Bug']					232	278
3583	309424	309424:78	For code that only open local file, it is a reasonable option to ask them to be encoded in the platform default encoding.	o	['Usability']					123	42
1966	408820	408820:92	 awt occupies more memory space.	o	['Others']		suggestion			34	91
2702	26458	26458:138	I will prefer the NETBEANS .	o	['Performance']	User-helper	clarification			30	67
2458	7358775	7358775:147	My second impression of Pivot is that it's easy to use.	o	['Others']					57	74
1510	628416	628416:37	For a purely JAAS tutorial check out URL_http://www.javaworld.com/javaworld/jw-09-2002/jw-0913-jaas.html [this] .	o	['Others']					115	107
3486	3409608	3409608:36	The increased CPU usage was due to a CODETERM1 loop that was waiting for the threads to finish.	o	['Usability']					97	45
3481	3409608	3409608:31	_Note:_ I use Apache HTTPClient to do the HTTP interaction, which is where the CODETERM6 comes from (in case anyone is wondering).	o	['Usability']					132	45
2530	7358775	7358775:219	(And it never was a really good framework to start with).	o	['Others']					59	72
57	2129375	2129375:31	URL_http://about.validator.nu/htmlparser/ [Validator.nu's-HTML-parser] , definitely.	o	['Bug']					86	331
2783	2994304	2994304:45	Swing apps no loger feel jerky and unrepsonsive and an accumulation of minor improvements result in a more professional looking GUI.	p	['Performance']					134	65
2912	4097567	4097567:24	Thanks a lot, Option 1 worked for me!	p	['Portability']		used			39	61
2116	8938752	8938752:14	I should have referenced wikipedia there, personally I am wary of calling things pioneers.	n	['Others']					92	85
3139	338586	338586:128	We have used it in few projects without problems.	n	['Usability']					51	55
3176	338586	338586:165	I recommend URL_http://code.alibabatech.com/jira/browse/FASTJSON [fastjson] ,just as its name,really fast .	p	['Usability']					109	54
2191	333690	333690:24	URL_http://www.restlet.org/documentation/1.1/screencast/ [ URL_http://www.restlet.org/documentation/1.1/screencast/ ] Otherwise, there is a Restlet tutorial in the O'Reilly book that we wrote in their Chapter 12.	o	['Others']					214	82
3454	3409608	3409608:4	The idea is simple: provide a URL to download, and the code will download the file.	p	['Usability']					85	46
4360	309424	309424:68	Of course, you could choose other character encodings besides UTF-8.	o	['Usability']					70	13
3811	5620985	5620985:27	It will generate the query and execute it for you too.	n	['Usability']					56	36
2715	26458	26458:151	Choose Take GUI Snapshot to make a screenshot of the application GUI that serves as a basis of the Visual Debugger functionality.!	o	['Performance']					132	67
1896	408820	408820:22	Today a Swing application can run fast enough to be serviceable or even zippy, and almost indistinguishable from an application using native widgets.	p	['Others']					151	92
85	5059224	5059224:1	Which is the best library for XML parsing in java.	o	['Bug']	User-to-author				52	303
4041	354837	354837:29	Moreover, there is a huge amount of similarity between these logging frameworks resulting in duplication of effort, and confusion as to what logging environment you are actually in.	o	['Usability']					183	27
1820	9887454	9887454:12	OK.Thanks for your valuable suggestion.	p	['Others']					41	95
2018	20639844	20639844:21	Short of dropping the API altogether (and using just session/cookies) it's still the best and most scalable approach.	o	['Others']					119	89
2577	26458	26458:13	Both are nice but I thought Netbeans had a leg up because it doesn't use any proprietary way of saving the GUI structure and instead does something similar to what Visual Studio does - auto-generating the code that you can then add to.	n	['Others']					237	71
2300	221442	221442:54	It promises to invoke REST services and create list of objects from XML/JSON/YAML response in one step.	o	['Others']					105	79
116	5059224	5059224:32	SAX is pretty easy to use too and just stay away from DOM if you don't have a really good reason to use it - old, clunky API in my opinion.	p	['Bug']					141	278
1037	326390	326390:185	3) Assumption that a single call to read() will read everything.	n	['Others']				used	66	130
1296	992019	992019:144	Generating your own key from a byte array is easy: CODESNIPPET_JAVA1 .	n	['Others']		suggestion			72	116
3239	1688099	1688099:42	The full objects won't even be copied!	p	['Usability']					40	52
2392	7358775	7358775:81	I just use AWT and Swing and I can do almost everythig, so thumbs up for them :).	o	['Others']		explain			83	76
32	2129375	2129375:6	If you want to simulate a browser, please rephrase your question.	n	['Bug']					67	370
3708	309424	309424:203	The below code worked for me.	o	['Usability']					31	39
1527	268129	268129:9	Also, the business/DAO/Hibernate stack is growing rather large, so not duplicating it just makes more sense.	n	['Others']	author	example app	promotion		110	106
1073	1522143	1522143:30	You could take a look at URL_http://www.bouncycastle.org [The-Legion-of-the- Bouncy-Castle] .	p	['Others']					95	128
463	1728020	1728020:7	And JXTA supports it too but the configuration is complicated.	n	['Documentation']					64	182
559	5415111	5415111:45	Answering my own question since this got resurrected for some reason.	o	['Documentation']					71	168
1428	4991084	4991084:20	Although slightly more verbose than the other Spring example, it is easier to read IMO.	p	['Others']					89	111
3751	312552	312552:4	 2:** org.hibernate.jdbc.util.BasicFormatterImpl got moved in release 4.0.	o	['Usability']					76	37
501	1728020	1728020:45	I could imagine a pure JavaScript JMS implementation in the browser, using HTTP as a transport but my instict is that this would be very heavyweight.	n	['Documentation']					151	176
3975	12094564	12094564:2	So I just found out today that Log4J 2.0 is now actively being developed, there is an alpha version and it is said to replace logback.	o	['Usability']					136	30
204	12399462	12399462:12	And for the sake of completeness here are the other global functions defined by URL_https://github.com/mozilla/rhino/blob/master/toolsrc/org/mozilla/javasc ript/tools/shell/Global.java [Global] : CODESNIPPET_JAVA2 .	o	['Community']					217	237
323	410890	410890:112	In eclipse (and most IDEs) you can also use watch expressions to evaluate code running in the debugger.	p	['Compatibility']					105	205
309	410890	410890:98	If you're having to get to the point where you're splitting up the line or doing elaborate debugging to spot the problem, then that's generally God's way of telling you that your code isn't checking for the null early enough.	o	['Compatibility']					227	208
2309	221442	221442:63	It generates clean code and there is a good change that you have to tweak it a bit after code generation, you can find good documentation and underlying thoughts behind the tool URL_https://do cs.google.com/document/edit?id=1uydmzsDFIiw8OsoMdk5v_s1VW7wrujUmGdUU2zge0fs [here] .	o	['Others']					279	79
2680	26458	26458:116	As I'm using eclipse, I use the Visual Editor plugin.	p	['Performance']					55	68
1248	992019	992019:96	@erickson I'm new here, not sure how this works but would you be interested in bounty points to fix up Dougs code?	o	['Others']					116	119
499	1728020	1728020:43	as a developer it felt like the browser was subscribing to JMS.	n	['Documentation']					67	176
1517	628416	628416:44	The latter two are mainly used by JASPIC.	o	['Others']					43	106
4222	2971315	2971315:36	You can see how this degenerates to of re-allocations and copies which is what you really are trying to avoid using CODETERM16 in the first place.	n	['Usability']					148	21
1608	19923498	19923498:1	Java date time in arabic.	o	['Others']					27	103
232	410890	410890:21	You can set exception breakpoints in Eclipse as well.	o	['Community']					55	226
1534	268129	268129:16	A bit of reading reveals that we need stub implementations for the JNDI resources, but this seems like a lot of hassle (perhaps Spring can help us?	n	['Others']					149	106
470	1728020	1728020:14	Directly connecting to clients could be problematic for many reasons: they could be behind firewalls that disallow that, they could be behind proxies and so on.	o	['Documentation']					162	181
213	410890	410890:2	If I get a NullPointerException in a call like this: CODESNIPPET_JAVA1 .	o	['Community']					74	232
1705	3451935	3451935:91	It could be the best choice in not one big issue: it was bought by Oracle and some licensing issues can occur now.	o	['Others']					116	99
1354	5571519	5571519:21	Yes, it is hard to build a tool, which find tags with high precision, because it requires a lot of testing and tuning.	p	['Others']					120	114
1415	4991084	4991084:7	The second you start using Shiro though, you just 'get it'.	p	['Others']					61	111
1847	5828625	5828625:8	 Don't give wings to rumors.But as an alternative you can use URL_http://javafx.com/ [JavaFx] or URL_http://www.eclipse.org/swt/ [swt] or URL_http://buoy.sourceforge.net/ [buoy] .	p	['Others']					181	94
3186	338586	338586:175	I liked URL_http://sourceforge.net/projects/json2java/ [J2J---Json2Java] from Sourceforge.	p	['Usability']					92	54
2809	2994304	2994304:71	[enter image description here]( URL_http://i.stack.imgur.com/OwRhP.png) .	n	['Performance']					75	64
1179	992019	992019:27	If so, would you mind posting the complete solution including the code from AES_v1.html?	o	['Others']					90	122
4081	354837	354837:69	As described URL_http://www.kdgregory.com/index.php?page=java.logging [here] , I like to use a LogWrapper object to provide custom stringification (important), and minimize the visual clutter of logging statements (less important).	o	['Usability']					233	26
48	2129375	2129375:22	Why?	o	['Bug']		suggestion			6	345
3735	7250741	7250741:3	The closest I have been able to discover is the Prefuse library, however I would need to extract the database structure and build the graph manually - is there a simpler way to do this?	n	['Usability']					187	38
2846	483379	483379:23	Why can't there be more?	n	['Performance']					26	63
601	1359689	1359689:6	The strange thing is that some servers will reply you back with strange ?	n	['Legal']					75	164
918	326390	326390:66	I'm using FileUtils too, but I'm wondering what is better betwwen using FileUtils or the accepted nio answer?	o	['OnlySentiment']					111	139
3358	5536458	5536458:11	I want my own structure in the file since some1 else need to read it by a specific structure.	o	['Usability']					95	49
273	410890	410890:62	Setters could do a side-effect, but having it in your getter will cause more confusion than it solves.	n	['Compatibility']					104	216
1271	992019	992019:119	Feel free to edit to make it better.	o	['Others']					38	118
2270	221442	221442:24	The link with text here is a unit test case is broken.	n	['Others']					58	80
4183	3581741	3581741:11	Sorry for the crappy answer, but it might be a good starting point if ALL ELSE fails.	n	['Usability']		query explain			87	21
329	922779	922779:2	We have some applications that sometimes get into a bad state, but only in production (of course!).	n	['Compatibility']					101	204
3285	1688099	1688099:88	:) (and has a super low memory, direct from bytes mode with UTF-8 encoding on the fly).	p	['Usability']					89	51
1593	268129	268129:75	The major drawbacks to this method are performance and the fact that our domain classes must be shared through JBoss' server/lib folder.	n	['Others']					138	104
1653	3451935	3451935:39	Why not use it?	p	['Others']		suggestion			17	101
2782	2994304	2994304:44	Most of the reasons why people hated swing when it first came out are no longer valid simply because of Moores Law, along with improved JVMs.	p	['Performance']					143	65
4384	309424	309424:92	The block size is parameterized for run-time performance optimization.	o	[u'Documentation']					72	11
529	5415111	5415111:15	I'm sure it's my fault, but at this point I don't really want to have to figure it out.	n	['Documentation']					89	172
859	326390	326390:7	Each time I read about itI get lost in the nth mention of channel :(.	n	['OnlySentiment']					71	142
1516	628416	628416:43	Overall but a few types from JAAS are directly used in Java EE, basically CODETERM1 , CODETERM2 , and CODETERM3 .	o	['Others']					115	106
4255	2971315	2971315:69	StringBuffer ( the syntax is exactly as with StringBuilder, the effects differ ) About CODETERM1 vs. CODETERM2 The former is synchonized and later is not.	o	['Usability']					156	20
4342	309424	309424:50	If you do, gist it and I'll append your results to the answer.	o	['Usability']					64	15
1704	3451935	3451935:90	I would choose between 2 options: 1) URL_http://en.wikipedia.org/wiki/Berkeley_DB [Berkeley-DB] : it's very mature and at the same time very simple key-value storage.	o	['Others']		explain suggestion			168	99
3955	462566	462566:31	I thought log4j was a terrific thing, worthy of being made a standard.	p	['Usability']					72	31
67	2129375	2129375:41	Even if you are not interested in reading XML/HTML/MS DOC formats you can just specify text/plain.	o	['Bug']					102	320
139	5059224	5059224:55	Sax parser is a good one, it is simple with their event-driven API, Have a look at: URL_http://www.asjava.com/java-xml/how-to-read-xml-file-via-sax- parser-in-java/ [ URL_http://www.asjava.com/java-xml/how-to-read-xml-file-via-sax - parser-in-java/] .	p	['Bug']		clarification			253	266
2131	8938752	8938752:29	@avanderw Maybe your experience is only with simple webapps, because I know from mine that it really helps a lot with more complex applications.	p	['Others']					146	85
2323	7358775	7358775:12	In its infancy it was regarded as slow and buggy and caused IBM to create SWT for Eclipse.	o	['Others']					92	78
2356	7358775	7358775:45	And why?	o	['Others']					10	77
3647	309424	309424:142	 I assumed that a stream is already present in the situation.	o	['Usability']					64	41
1782	5802639	5802639:33	This could be easily modelled with Spring Data Graph (or also with the pure Neo4j API) CODESNIPPET_JAVA2 .	n	['Others']		suggestion			108	97
1936	408820	408820:62	Swing components are platform-independent.	n	['Others']					44	91
891	326390	326390:39	Since the question asks specifically for a String, that's what I show, but if you can work with the CharBuffer returned by decode, the memory requirement is much less.	o	['OnlySentiment']					171	141
16	15936368	15936368:19	maybe the timezone removal itself is incorrect, why would someone do it?	n	['Bug', 'Usability']					74	478
1504	628416	628416:31	 \- then you just call lc.login(); and authenticate the credentials.	o	['Others']					70	107
952	326390	326390:100	The code in the answer isn't the actual, current Guava source.	n	['Others']					64	137
862	326390	326390:10	Someone might actually use this example and introduce a bug into his code.	n	['OnlySentiment']					76	142
1694	3451935	3451935:80	It scales very well if I have to believe digg,facebook, twitter, etc.	o	['Others']					71	100
573	5415111	5415111:59	Any HTTP performance test that lasts 2 second is simply not representative.	n	['Documentation']					77	167
3982	12094564	12094564:9	Yes I have done similar likewise but good ole log4j is almost in every project except for really really new projects and its the only one I can remember how to configure.	p	['Usability']					172	30
2519	7358775	7358775:208	+1 Base your development on Swing.	o	['Others']					36	73
2008	20639844	20639844:11	I don't want to store passwords in plain text.	o	['Others']					48	89
2167	8938752	8938752:65	Jersey does seem to mach the requirements quite adequately, although I have not given other frameworks enough investigation yet.	o	['Others']					130	83
2321	7358775	7358775:10	This might suit perfectly as it's a tried and proven framework.	o	['Others']					65	78
465	1728020	1728020:9	) .	p	['Documentation']					5	181
189	35785	35785:39	If you want a serialization like DOT NET then you could use URL_http://java.sun.com/products/jfc/tsc/articles/persistence3/ [Long-Term- Persistence-of-JavaBeans-Components] The choice depends on use of serialization.	o	['Community']					218	244
2218	333690	333690:51	Listening to Web browsers** Now, we want to see how the Restlet framework can listen to client requests and reply to them.	o	['Others']					124	82
3993	12094564	12094564:20	Are you familiar with the log4j.properties translator?	o	['Usability']					56	29
123	5059224	5059224:39	I'm not saying it is bad.. but there may be other libraries which are worth noticing :).	p	['Bug']					90	275
1068	1522143	1522143:25	E.g.	o	['Others']					6	128
3238	1688099	1688099:41	Also, if you have an array of Objects, and you deserialize some json into that array of Objects, the true types are LOST!	n	['Usability']					123	52
2520	7358775	7358775:209	Swing is built on top of AWT and includes light-weight components that look and behave the same on all platforms, so you never should use AWT components directly.	o	['Others']					164	73
2010	20639844	20639844:13	I'm looking for some java libraries that can assist in password salt and MD5 .	p	['Others']					80	89
2546	7358775	7358775:235	Yes, JIDE has made quite a few components covering grids, trees, tables, graphs and the like.	o	['Others']					95	72
1101	49226	49226:9	Use URL_http://en.wikipedia.org/wiki/Advanced_Encryption_Standard [Advanced- Encryption-Standard] (AES).	o	['Others']					106	126
2894	4097567	4097567:6	But I get loads of various issues and this is the exception I'm currently stuck on: CODESNIPPET_JAVA3 .	n	['Performance']					105	62
275	410890	410890:64	A getter is supposed to get the property, anything other than that and it is a side effect.	o	['Compatibility']					93	216
768	2356137	2356137:6	Splitting a text file using bytes would be a bad idea.	n	['OnlySentiment']					56	149
1733	3232842	3232842:11	URL_http://github.com/rantav/hector [Hector] and URL_http://code.google.com/p/pelops/ [Pelops] are, as far as I know, the two that are most widely used (4).	n	['Others']					158	98
4044	354837	354837:32	If you do not know this ahead of time, it is utterly bewildering.	n	['Usability']					67	27
1131	49226	49226:39	I wanted the same thing and that I found in bouncycastle.	n	['Others']					59	125
1706	3451935	3451935:92	Read carefully info about licensing and it your requirements don't break the agreement then go with it.	o	['Others']					105	99
4001	12094564	12094564:28	NM I'll file separate question and for now look at: URL_http://mailman.qos.ch/pipermail/logback-user/2007-May/000209.html .	o	['Usability']					125	29
1871	5828625	5828625:32	Personally i don't like SWT.	n	['Others']					30	93
3153	338586	338586:142	While deserializing, Gson can automatically convert JSON arrays to collections or arrays.	o	['Usability']					91	55
3782	312552	312552:35	I need to be able to do this off-line as after code generation step in my build process.	o	['Usability']					90	37
3333	13498349	13498349:4	this above code create Json like this CODESNIPPET_JAVA3 .	o	['Usability']					59	49
2749	2994304	2994304:11	Some components may not function at all on some platforms.	n	['Performance']					60	66
2561	5905334	5905334:6	The problem is that you were probably blocking the main Swing event thread (the thread that handles things like button clicks).	n	['Others']					129	71
3491	3409608	3409608:41	My immediate thought for best performance on Windows would be to use URL_http://msdn.microsoft.com/en-us/library/aa365198%28VS.85%29.aspx [IO- completions-ports] .	o	['Usability']					165	45
1841	5828625	5828625:2	I heard that apparently Swing is being developed no longer.	o	['Others']					61	94
2824	483379	483379:1	Memory leak in JBoss.	o	['Performance']					23	64
2689	26458	26458:125	I took it from recent discussion on comp.lang.java.gui (I was the autor of this post so I could do it rightfully), URL_http://groups.google.com/group/com p.lang.java.gui/browse_thread/thread/3722f92594039d24/1f0b605efebb1b39#1f0b605 efebb1b39 [here] is the link to whole discussion.	o	['Performance']					284	68
